                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.91581,                 1.8426,                0.79776,                0.84259,                0.78871,                0.70233,                0.79136,                0.60016,                0.68671,                0.58412,                  0.642,                0.36632,                 0.7972,                  1.947,                0.78134,                0.83327,             0.00090556,             0.00090556,             0.00090556
                     77,                0.93696,                 1.8816,                0.79765,                0.84288,                0.79272,                0.69067,                0.78598,                0.59458,                0.69446,                 0.5587,                 0.6267,                0.35559,                0.80328,                 1.9887,                0.80009,                0.83488,             0.00089848,             0.00089848,             0.00089848
                     78,                0.90423,                 1.8514,                0.79411,                0.84031,                0.79133,                 0.7046,                 0.7915,                0.58875,                0.66449,                0.56263,                0.62225,                0.33858,                0.84192,                 1.9272,                 0.7885,                0.83796,             0.00089141,             0.00089141,             0.00089141
                     79,                0.94781,                 1.8961,                0.80618,                0.84193,                0.79461,                0.70572,                 0.7974,                0.59967,                0.70108,                0.57439,                 0.6495,                 0.3711,                  0.813,                 1.9728,                 0.7847,                0.83299,             0.00088434,             0.00088434,             0.00088434
                     80,                0.93537,                 1.8545,                  0.783,                0.83833,                0.79261,                0.70203,                0.79505,                0.60107,                0.69844,                0.57629,                0.64966,                0.37609,                0.80242,                 1.9799,                0.79432,                0.83239,             0.00087726,             0.00087726,             0.00087726
                     81,                0.93783,                 1.8436,                0.79062,                0.84088,                 0.7873,                0.70836,                0.79389,                0.59347,                0.67845,                0.55679,                0.62465,                0.35227,                0.82739,                 1.9922,                0.79639,                0.83402,             0.00087019,             0.00087019,             0.00087019
                     82,                0.92324,                 1.9252,                0.79541,                0.83999,                0.78351,                0.71142,                0.79243,                0.59709,                0.69172,                0.56059,                0.63665,                0.36604,                0.83643,                 2.0194,                 0.7946,                0.83384,             0.00086312,             0.00086312,             0.00086312
                     83,                0.90781,                  1.892,                0.79512,                0.84507,                0.78051,                0.70058,                0.78098,                0.59352,                0.66591,                0.55897,                0.62252,                0.34821,                0.79982,                 1.9541,                0.79965,                0.83674,             0.00085604,             0.00085604,             0.00085604
                     84,                0.90942,                 1.8228,                0.79372,                0.84604,                0.78366,                0.70231,                0.78432,                 0.5949,                0.67324,                0.55886,                0.62284,                0.34621,                0.80909,                  1.923,                0.78816,                0.83908,             0.00084897,             0.00084897,             0.00084897
                     85,                 0.9229,                 1.9116,                0.78976,                0.84073,                0.79558,                0.71016,                0.79667,                0.60118,                0.70511,                0.57714,                 0.6441,                0.36111,                0.81486,                 2.0268,                0.78656,                0.83352,              0.0008419,              0.0008419,              0.0008419
                     86,                0.89507,                 1.8408,                0.76735,                0.83733,                0.79104,                0.70499,                0.79183,                0.59983,                 0.6965,                0.56912,                0.63273,                0.35336,                0.80491,                 2.0443,                0.80338,                0.83412,             0.00083482,             0.00083482,             0.00083482
                     87,                0.88621,                 1.7682,                0.76436,                 0.8412,                0.78776,                0.72086,                0.79566,                0.61427,                0.68943,                0.56928,                0.63948,                0.36954,                0.77383,                 1.9354,                0.75912,                0.83199,             0.00082775,             0.00082775,             0.00082775
                     88,                0.93193,                 1.9512,                0.79399,                0.83881,                0.78209,                0.72396,                0.79818,                0.60979,                0.69446,                 0.5747,                0.64417,                 0.3713,                0.78781,                 1.9475,                0.76474,                0.83177,             0.00082067,             0.00082067,             0.00082067
                     89,                0.89359,                 1.8483,                0.78117,                0.83926,                0.78287,                0.70876,                0.79566,                0.58358,                0.66562,                0.56917,                0.62709,                0.34212,                0.84822,                 2.0281,                0.79605,                0.83586,              0.0008136,              0.0008136,              0.0008136
                     90,                0.87578,                  1.755,                0.76479,                0.84819,                0.78236,                0.72067,                0.80077,                0.60087,                0.67718,                0.56978,                0.63184,                0.35356,                0.79555,                 1.9232,                0.76673,                0.83165,             0.00080653,             0.00080653,             0.00080653
                     91,                0.90011,                 1.8504,                0.77701,                0.84135,                0.80437,                0.70764,                0.80107,                0.61365,                0.70609,                0.57861,                0.65045,                0.38098,                0.77861,                 1.9483,                0.75529,                0.82987,             0.00079945,             0.00079945,             0.00079945
